0, 275
1, 17
2, 20
3, 1040
4, 785
5, 1805
6, 1550
7, 1295
8, 2315
9, 2060
10, 2825
11, 2570
12, 3590
13, 3335
14, 3080
15, 4100
16, 3845
18, 4865
19, 4355
21, 4369
22, 4368
23, 4367
24, 4366
25, 4365
26, 4364
27, 4363
28, 4362
29, 4361
30, 4360
31, 4359
32, 4358
33, 4357
34, 4356
35, 4580
36, 4581
37, 4552
38, 4553
39, 4582
40, 4583
41, 4526
42, 4527
43, 4554
44, 4555
45, 4584
46, 4585
47, 4502
48, 4503
49, 4528
50, 4529
51, 4556
52, 4557
53, 4586
54, 4587
55, 4480
56, 4481
57, 4504
58, 4505
59, 4530
60, 4531
61, 4558
62, 4559
63, 4588
64, 4589
65, 4460
66, 4461
67, 4482
68, 4483
69, 4506
70, 4507
71, 4532
72, 4533
73, 4560
74, 4561
75, 4590
76, 4591
77, 4442
78, 4443
79, 4462
80, 4463
81, 4484
82, 4485
83, 4508
84, 4509
85, 4534
86, 4535
87, 4562
88, 4563
89, 4592
90, 4593
91, 4426
92, 4427
93, 4444
94, 4445
95, 4464
96, 4465
97, 4486
98, 4487
99, 4510
100, 4511
101, 4536
102, 4537
103, 4564
104, 4565
105, 4594
106, 4595
107, 4412
108, 4413
109, 4428
110, 4429
111, 4446
112, 4447
113, 4466
114, 4467
115, 4488
116, 4489
117, 4512
118, 4513
119, 4538
120, 4539
121, 4566
122, 4567
123, 4596
124, 4597
125, 4400
126, 4401
127, 4414
128, 4415
129, 4430
130, 4431
131, 4448
132, 4449
133, 4468
134, 4469
135, 4490
136, 4491
137, 4514
138, 4515
139, 4540
140, 4541
141, 4568
142, 4569
143, 4598
144, 4599
145, 4390
146, 4391
147, 4402
148, 4403
149, 4416
150, 4417
151, 4432
152, 4433
153, 4450
154, 4451
155, 4470
156, 4471
157, 4492
158, 4493
159, 4516
160, 4517
161, 4542
162, 4543
163, 4570
164, 4571
165, 4600
166, 4601
167, 4382
168, 4383
169, 4392
170, 4393
171, 4404
172, 4405
173, 4418
174, 4419
175, 4434
176, 4435
177, 4452
178, 4453
179, 4472
180, 4473
181, 4494
182, 4495
183, 4518
184, 4519
185, 4544
186, 4545
187, 4572
188, 4573
189, 4602
190, 4603
191, 4376
192, 4377
193, 4384
194, 4385
195, 4394
196, 4395
197, 4406
198, 4407
199, 4420
200, 4421
201, 4436
202, 4437
203, 4454
204, 4455
205, 4474
206, 4475
207, 4496
208, 4497
209, 4520
210, 4521
211, 4546
212, 4547
213, 4574
214, 4575
215, 4604
216, 4605
217, 4372
218, 4373
219, 4378
220, 4379
221, 4386
222, 4387
223, 4396
224, 4397
225, 4408
226, 4409
227, 4422
228, 4423
229, 4438
230, 4439
231, 4456
232, 4457
233, 4476
234, 4477
235, 4498
236, 4499
237, 4522
238, 4523
239, 4548
240, 4549
241, 4576
242, 4577
243, 4606
244, 4607
245, 4370
